country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Population growth rate (average annual %)
Syrian Arab Republic,WesternAsia,185180,18270,99.5,28393,-5.3,1534.5,20.7,30,49.3,18.5,39.2,42.3,13.8,-2.3
Tajikistan,CentralAsia,142600,8921,63.7,7853,4.2,925.9,25,28,47.1,57.2,13.4,29.4,10.8,2.2
Thailand,South-easternAsia,513120,69038,135.1,395168,2.8,5814.8,9.1,35.7,55.1,34,22.7,43.3,0.6,0.4
The former Yugoslav Republic of Macedonia,SouthernEurope,25713,2083,82.6,10052,3.8,4836.1,12,27.9,65.1,16.2,29.2,54.5,27.3,0.1
Timor-Leste,South-easternAsia,14919,1296,87.2,2873,4.3,2425.4,5.2,79.9,14.9,50.8,2,47.2,4.3,2.2
Togo,WesternAfrica,56785,7798,143.4,4086,5.5,559.4,45.7,19.7,34.6,62.5,8.7,28.7,6.8,2.6
Tokelau,Polynesia,12,1,130,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1.9
Tonga,Polynesia,747,108,150,402,3.8,3784.5,22.4,21.5,56.1,33.3,28.2,38.5,4.8,0.4
Trinidad and Tobago,Caribbean,5127,1369,266.9,25927,0.2,19062.9,0.5,42.5,57,4.1,31.6,64.3,4.2,0.5
Tunisia,NorthernAfrica,163610,11532,74.2,41199,0.8,3660.9,10.3,27.8,62,11.7,29.4,58.9,14.6,1.2
Turkey,WesternAsia,783562,80745,104.9,717888,4,9125.8,8.6,26.4,65,19.6,27.5,52.9,10.8,1.6
Turkmenistan,CentralAsia,488100,5758,12.3,37597,6.5,6996.7,13.4,51,35.6,17.9,37.4,44.7,8.6,1.8
Turks and Caicos Islands,Caribbean,948,35,37.3,863,4.1,25121.8,0.6,10.4,89,...,...,...,...,2
Tuvalu,Polynesia,26,11,373.1,33,3.5,3362.4,26,7.6,66.4,-99,-99,-99,...,0.9
Uganda,EasternAfrica,241550,42863,214.5,25282,5.4,647.7,25.6,21.5,52.9,72,7.4,20.5,2.4,3.4
Ukraine,EasternEurope,603500,44223,76.3,90615,-9.9,2021.6,14,26.3,59.7,15.7,24.6,59.7,8.8,-0.5
United Arab Emirates,WesternAsia,83600,9400,112.4,370296,3.8,40438.8,0.7,44.9,54.4,3.5,21.1,75.4,3.7,2
United Kingdom,NorthernEurope,242495,66182,273.6,2858003,2.2,44162.4,0.7,19.4,79.9,1.2,18.4,80.4,5,0.6
United Republic of Tanzania,EasternAfrica,947303,57310,64.7,45628,7,877.3,31.1,26.1,42.9,66.9,6.4,26.7,2.7,3.1
United States of America,NorthernAmerica,9833517,324460,35.5,18036648,2.6,56053.8,1,19.7,79.3,1.5,17.2,81.3,4.9,0.7
United States Virgin Islands,Caribbean,347,105,299.7,-99,-99,-99,-99,-99,-99,10.9,24,65.2,9,-0.2
Uruguay,SouthAmerica,173626,3457,19.8,53442,1,15573.8,6.8,28,65.2,8.7,20.5,70.8,8.8,0.3
Uzbekistan,CentralAsia,448969,31911,75,69004,6.8,2308.3,19.2,32.9,47.9,29,23.9,47.1,8.9,1.6
Vanuatu,Melanesia,12189,276,22.7,737,-1,2783,26.7,8.4,64.9,61.4,6.8,31.8,5.3,2.3
Venezuela (Bolivarian Republic of),SouthAmerica,912050,31977,36.3,344331,-6.2,11068.9,5.3,44.7,50,11.9,26.8,61.3,6.6,1.4
Viet Nam,South-easternAsia,330967,95541,308.1,193241,6.7,2067.9,18.9,37,44.2,41.8,22.9,35.2,2.2,1.1
Wallis and Futuna Islands,Polynesia,142,12,84.1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-2.1
Western Sahara,NorthernAfrica,266000,553,2.1,-99,-99,-99,-99,-99,-99,37.4,27.9,34.7,6.8,1.8
Yemen,WesternAsia,527968,28250,53.5,29688,-28.1,1106.4,14.7,36.9,48.4,32.9,17.9,49.2,16.1,2.6
Zambia,EasternAfrica,752612,17094,23,21255,2.9,1311.1,8.2,32.3,59.5,54.8,9.9,35.3,7.4,3
Zimbabwe,EasternAfrica,390757,16530,42.7,13893,1.1,890.4,13,30.5,56.5,67.5,7.3,25.2,5,2.3
